150 Inflation Regency/Municipality (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Consumer Price Index of Health Group and Sub (2022=100),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Health,,,,,,,,,,,,,Medicines and Health Products,,,,,,,,,,,,,Outpatient Services,,,,,,,,,,,,,Inpatient Services,,,,,,,,,,,,,Other Health Services,,,,,,,,,,,,
,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,,2024,,,,,,,,,,,,
,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually,January,February,March,April,May,June,July,August,September,October,November,December,Annually
KAB KERINCI,100.01,100.3,100.66,100.69,100.69,100.69,100.69,100.99,100.99,101.01,101.49,101.62,-,96.45,97.21,97.21,97.29,97.29,97.29,97.29,98.08,98.08,98.13,99.38,99.71,-,103.56,103.56,104.51,104.51,104.51,104.51,104.51,104.51,104.51,104.51,104.51,104.51,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MUARA BUNGO,104.38,104.65,104.65,104.83,104.83,104.91,105.12,105.21,105.21,105.71,105.71,105.71,-,105.31,106.13,106.13,106.69,106.69,106.95,107.61,107.89,107.89,109.42,109.42,109.42,-,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,103.94,-,103.93,103.93,103.93,103.93,103.93,103.93,103.93,103.93,103.93,103.93,103.93,103.93,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,101.88,101.57,101.05,101.29,101.63,101.51,101.67,101.72,101.47,101.48,100.25,99.39,-,103.9,103.25,102.19,102.67,103.39,103.14,103.47,103.56,103.05,103.07,100.52,98.74,-,100,100,100,100,100,100,100,100,100,100,100,100,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB OGAN KOMERING ILIR,102.39,102.39,102.84,102.84,102.81,102.84,105.81,105.81,105.81,105.81,105.81,105.81,-,105.65,105.65,106.71,106.71,106.65,106.71,106.71,106.71,106.71,106.71,106.71,106.71,-,100,100,100,100,100,100,106.99,106.99,106.99,106.99,106.99,106.99,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,100.72,100.61,101.05,101.75,101.75,102.89,102.89,102.83,103.14,103.14,103.16,103.16,-,99.53,99.25,100.34,102.03,102.03,104.3,104.3,104.15,104.89,104.89,104.94,104.94,-,102.27,102.27,102.27,102.27,102.27,102.79,102.79,102.79,102.79,102.79,102.79,102.79,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,101.75,101.86,101.67,101.67,101.75,101.8,102.17,102.52,102.57,102.57,102.76,103.03,-,102.2,102.41,102.04,102.04,102.19,102.3,103,103.13,103.24,103.23,103.6,104.13,-,100,100,100,100,100,100,100,100.35,100.35,100.35,100.35,100.35,-,100,100,100,100,100,100,100,100,100,100,100,100,-,108.45,108.45,108.45,108.45,108.45,108.45,108.45,111.13,111.13,111.13,111.13,111.13,-
KOTA LUBUK LINGGAU,102.43,102.53,102.53,102.53,102.52,102.58,102.47,102.65,102.69,102.84,102.86,102.89,-,104.34,104.56,104.56,104.56,104.54,104.68,104.44,104.69,104.77,105.11,105.16,105.21,-,100.26,100.26,100.26,100.26,100.26,100.26,100.26,100.55,100.55,100.55,100.55,100.55,-,101.66,101.66,101.66,101.66,101.66,101.66,101.66,101.66,101.66,101.66,101.66,101.66,-,100,100,100,100,100,100,100,100,100,100,100,100,-
KAB MUKO MUKO,103.12,103.12,103.12,103.12,103.12,106.15,106.15,106.15,106.15,106.15,106.15,106.15,-,108.25,108.25,108.25,108.25,108.25,115.81,115.81,115.81,115.81,115.81,115.81,115.81,-,100,100,100,100,100,100.39,100.39,100.39,100.39,100.39,100.39,100.39,-,100,100,100,100,100,100,100,100,100,100,100,100,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,103.38,103.29,103.75,103.71,104.89,105.17,105.12,105.42,105.54,105.66,105.95,106.14,-,102.25,102.03,103.15,103.07,103.2,103.89,103.78,104.51,104.81,105.1,105.81,105.79,-,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,107.46,108.14,-,100.46,100.46,100.46,100.46,105.1,105.1,105.1,105.1,105.1,105.1,105.1,105.1,-,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.04,103.04,-
KAB LAMPUNG TIMUR,102.26,102.26,102.26,102.15,101.9,102.2,102.07,102.32,103.2,104.09,104.21,104.46,-,102.44,102.44,102.44,102.15,101.51,102.27,101.95,102.58,102.58,102.58,102.88,103.51,-,102.69,102.69,102.69,102.69,102.69,102.69,102.69,102.69,104.8,106.92,106.92,106.92,-,101.18,101.18,101.18,101.18,101.18,101.18,101.18,101.18,101.18,101.18,101.18,101.18,-,100,100,100,100,100,100,100,100,100,100,100,100,-
